3 választási eredmény
Párt1 - 48244
Párt2 - 83428
Párt3 - 16494
Párt4 - 199708
Párt5 - 165190
Párt6 - 197699
Párt7 - 138745
Párt8 - 83835
Párt9 - 107794
Párt10 - 104856
Párt11 - 128388
Párt12 - 23234
Párt13 - 87659
Párt14 - 96693
Párt15 - 3306
Párt16 - 43535
Párt17 - 47533
Párt18 - 91688
Párt19 - 153916
Párt20 - 168585
Párt21 - 98138
Párt22 - 68077
Párt23 - 37933
Párt24 - 95093
Párt25 - 188603
Párt26 - 79356
Párt27 - 70098
Párt28 - 49682
Párt29 - 84247
Párt30 - 10684
Párt31 - 162032
Párt32 - 75033
Párt33 - 170570
Párt34 - 1729
Párt35 - 26117
Párt36 - 11759
Párt37 - 32405
Párt38 - 74423
Párt39 - 5300
Párt40 - 95746
Párt41 - 35371
Párt42 - 111358
Párt43 - 36339
Párt44 - 102668
Párt45 - 178487
Párt46 - 92709
Párt47 - 122968
Párt48 - 136013
Párt49 - 176498
Párt50 - 34437
Párt51 - 22308
Párt52 - 22499
Párt53 - 104148
Párt54 - 85447
Párt55 - 148136
Párt56 - 118468
Párt57 - 160507
Párt58 - 21211
Párt59 - 144155
Párt60 - 107397
Párt61 - 105942
Párt62 - 27175
Párt63 - 95634
Párt64 - 81673
Párt65 - 66306
Párt66 - 132668
Párt67 - 87760
Párt68 - 147075
Párt69 - 121526
Párt70 - 79455
Párt71 - 176878
Párt72 - 163044
Párt73 - 135405
Párt74 - 11639
Párt75 - 3510
Párt76 - 6301608
Párt77 - 187551
Párt78 - 165606
Párt79 - 43421
Párt80 - 62300
Párt81 - 110222
Párt82 - 137363
Párt83 - 146849
Párt84 - 199435
Párt85 - 138366
